contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Distance
SPY260724C00500000,2026-07-22 18:31:15+00:00,500.0,248.89,0.0,0.0,0.0,0.0,1.0,2003,1.0000000000000004e-05,True,REGULAR,USD,238.4000244140625
SPY260724C00505000,2026-07-13 16:56:30+00:00,505.0,245.53,0.0,0.0,0.0,0.0,,1,1.0000000000000004e-05,True,REGULAR,USD,233.4000244140625
SPY260724C00510000,2026-07-13 16:56:45+00:00,510.0,240.41,0.0,0.0,0.0,0.0,,1,1.0000000000000004e-05,True,REGULAR,USD,228.4000244140625
SPY260724C00515000,2026-07-23 19:44:12+00:00,515.0,221.74,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000004e-05,True,REGULAR,USD,223.4000244140625
SPY260724C00520000,2026-07-23 19:45:39+00:00,520.0,216.68,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000004e-05,True,REGULAR,USD,218.4000244140625
SPY260724C00525000,2026-07-23 19:47:07+00:00,525.0,211.43,0.0,0.0,0.0,0.0,1.0,8,1.0000000000000004e-05,True,REGULAR,USD,213.4000244140625
SPY260724C00530000,2026-06-17 14:15:42+00:00,530.0,222.08,207.73,211.0,0.0,0.0,,3,3.323243879394531,True,REGULAR,USD,208.4000244140625
SPY260724C00540000,2026-06-12 13:40:46+00:00,540.0,198.27,213.63,216.41,0.0,0.0,,3,6.0383325302124025,True,REGULAR,USD,198.4000244140625
SPY260724C00550000,2026-07-10 14:33:00+00:00,550.0,200.38,0.0,0.0,0.0,0.0,5.0,8,1.0000000000000004e-05,True,REGULAR,USD,188.4000244140625
SPY260724C00555000,2026-07-16 16:23:06+00:00,555.0,197.37,0.0,0.0,0.0,0.0,1.0,7,1.0000000000000004e-05,True,REGULAR,USD,183.4000244140625
SPY260724C00560000,2026-07-23 19:38:41+00:00,560.0,177.23,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000004e-05,True,REGULAR,USD,178.4000244140625
SPY260724C00570000,2026-06-17 18:32:38+00:00,570.0,179.22,167.74,171.04,0.0,0.0,1.0,0,2.699222001953125,True,REGULAR,USD,168.4000244140625
SPY260724C00575000,2026-07-23 19:47:47+00:00,575.0,161.63,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000004e-05,True,REGULAR,USD,163.4000244140625
SPY260724C00590000,2026-06-26 14:51:50+00:00,590.0,145.71,0.0,0.0,0.0,0.0,4.0,2,1.0000000000000004e-05,True,REGULAR,USD,148.4000244140625
SPY260724C00595000,2026-07-17 19:40:17+00:00,595.0,148.26,0.0,0.0,0.0,0.0,5.0,12,1.0000000000000004e-05,True,REGULAR,USD,143.4000244140625
SPY260724C00600000,2026-07-21 13:53:54+00:00,600.0,145.3,0.0,0.0,0.0,0.0,20.0,23,1.0000000000000004e-05,True,REGULAR,USD,138.4000244140625
SPY260724C00605000,2026-07-22 16:49:32+00:00,605.0,144.78,0.0,0.0,0.0,0.0,1.0,6,1.0000000000000004e-05,True,REGULAR,USD,133.4000244140625
SPY260724C00610000,2026-07-23 19:48:20+00:00,610.0,126.95,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000004e-05,True,REGULAR,USD,128.4000244140625
SPY260724C00615000,2026-07-23 14:22:54+00:00,615.0,125.42,0.0,0.0,0.0,0.0,2.0,14,1.0000000000000004e-05,True,REGULAR,USD,123.4000244140625
SPY260724C00620000,2026-07-23 19:38:41+00:00,620.0,117.22,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000004e-05,True,REGULAR,USD,118.4000244140625
SPY260724C00625000,2026-07-23 16:28:49+00:00,625.0,114.54,0.0,0.0,0.0,0.0,29.0,1,1.0000000000000004e-05,True,REGULAR,USD,113.4000244140625
SPY260724C00630000,2026-07-10 18:13:38+00:00,630.0,125.25,0.0,0.0,0.0,0.0,1.0,3,1.0000000000000004e-05,True,REGULAR,USD,108.4000244140625
SPY260724C00635000,2026-07-23 19:38:41+00:00,635.0,102.27,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000004e-05,True,REGULAR,USD,103.4000244140625
SPY260724C00640000,2026-07-23 16:27:43+00:00,640.0,99.5,0.0,0.0,0.0,0.0,24.0,37,1.0000000000000004e-05,True,REGULAR,USD,98.4000244140625
SPY260724C00645000,2026-07-22 16:37:01+00:00,645.0,105.05,0.0,0.0,0.0,0.0,1.0,163,1.0000000000000004e-05,True,REGULAR,USD,93.4000244140625
SPY260724C00650000,2026-07-23 14:49:11+00:00,650.0,89.59,0.0,0.0,0.0,0.0,9.0,22,1.0000000000000004e-05,True,REGULAR,USD,88.4000244140625
SPY260724C00651000,2026-07-23 14:37:20+00:00,651.0,88.55,0.0,0.0,0.0,0.0,4.0,4,1.0000000000000004e-05,True,REGULAR,USD,87.4000244140625
SPY260724C00652000,2026-07-20 13:47:18+00:00,652.0,96.47,0.0,0.0,0.0,0.0,,3,1.0000000000000004e-05,True,REGULAR,USD,86.4000244140625
SPY260724C00654000,2026-07-22 14:42:44+00:00,654.0,93.85,0.0,0.0,0.0,0.0,18.0,25,1.0000000000000004e-05,True,REGULAR,USD,84.4000244140625
SPY260724C00655000,2026-07-23 16:25:58+00:00,655.0,84.68,0.0,0.0,0.0,0.0,1.0,29,1.0000000000000004e-05,True,REGULAR,USD,83.4000244140625
SPY260724C00656000,2026-07-23 14:36:36+00:00,656.0,83.05,0.0,0.0,0.0,0.0,10.0,8,1.0000000000000004e-05,True,REGULAR,USD,82.4000244140625
SPY260724C00657000,2026-07-23 15:02:18+00:00,657.0,81.29,0.0,0.0,0.0,0.0,30.0,24,1.0000000000000004e-05,True,REGULAR,USD,81.4000244140625
SPY260724C00658000,2026-07-23 15:02:18+00:00,658.0,80.38,0.0,0.0,0.0,0.0,20.0,24,1.0000000000000004e-05,True,REGULAR,USD,80.4000244140625
SPY260724C00659000,2026-07-22 17:24:33+00:00,659.0,90.44,0.0,0.0,0.0,0.0,,0,1.0000000000000004e-05,True,REGULAR,USD,79.4000244140625
SPY260724C00660000,2026-07-23 18:24:40+00:00,660.0,77.48,0.0,0.0,0.0,0.0,13.0,18,1.0000000000000004e-05,True,REGULAR,USD,78.4000244140625
SPY260724C00661000,2026-07-23 15:31:20+00:00,661.0,74.87,0.0,0.0,0.0,0.0,12.0,15,1.0000000000000004e-05,True,REGULAR,USD,77.4000244140625
SPY260724C00662000,2026-07-23 14:38:26+00:00,662.0,78.13,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000004e-05,True,REGULAR,USD,76.4000244140625
SPY260724C00663000,2026-07-23 14:38:26+00:00,663.0,77.14,0.0,0.0,0.0,0.0,3.0,6,1.0000000000000004e-05,True,REGULAR,USD,75.4000244140625
SPY260724C00664000,2026-07-23 14:39:03+00:00,664.0,76.32,0.0,0.0,0.0,0.0,7.0,10,1.0000000000000004e-05,True,REGULAR,USD,74.4000244140625
SPY260724C00665000,2026-07-23 18:21:25+00:00,665.0,72.44,0.0,0.0,0.0,0.0,11.0,9,1.0000000000000004e-05,True,REGULAR,USD,73.4000244140625
SPY260724C00666000,2026-07-23 14:41:10+00:00,666.0,74.22,0.0,0.0,0.0,0.0,4.0,4,1.0000000000000004e-05,True,REGULAR,USD,72.4000244140625
SPY260724C00667000,2026-07-23 14:41:10+00:00,667.0,73.23,0.0,0.0,0.0,0.0,4.0,2,1.0000000000000004e-05,True,REGULAR,USD,71.4000244140625
SPY260724C00668000,2026-07-23 14:41:40+00:00,668.0,71.99,0.0,0.0,0.0,0.0,2.0,1,1.0000000000000004e-05,True,REGULAR,USD,70.4000244140625
SPY260724C00669000,2026-07-23 14:41:40+00:00,669.0,71.0,0.0,0.0,0.0,0.0,2.0,82,1.0000000000000004e-05,True,REGULAR,USD,69.4000244140625
SPY260724C00670000,2026-07-23 20:10:45+00:00,670.0,69.25,0.0,0.0,0.0,0.0,31.0,94,1.0000000000000004e-05,True,REGULAR,USD,68.4000244140625
SPY260724C00671000,2026-07-23 14:42:16+00:00,671.0,69.04,0.0,0.0,0.0,0.0,10.0,5,1.0000000000000004e-05,True,REGULAR,USD,67.4000244140625
SPY260724C00672000,2026-07-23 14:47:53+00:00,672.0,67.69,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000004e-05,True,REGULAR,USD,66.4000244140625
SPY260724C00673000,2026-07-23 14:47:53+00:00,673.0,66.7,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000004e-05,True,REGULAR,USD,65.4000244140625
SPY260724C00674000,2026-07-23 14:46:14+00:00,674.0,65.2,0.0,0.0,0.0,0.0,2.0,11,1.0000000000000004e-05,True,REGULAR,USD,64.4000244140625
SPY260724C00675000,2026-07-23 14:46:14+00:00,675.0,64.21,0.0,0.0,0.0,0.0,2.0,14,1.0000000000000004e-05,True,REGULAR,USD,63.4000244140625
SPY260724C00676000,2026-07-23 14:45:24+00:00,676.0,63.09,0.0,0.0,0.0,0.0,8.0,8,1.0000000000000004e-05,True,REGULAR,USD,62.4000244140625
SPY260724C00677000,2026-07-23 14:45:24+00:00,677.0,62.1,0.0,0.0,0.0,0.0,9.0,6,1.0000000000000004e-05,True,REGULAR,USD,61.4000244140625
SPY260724C00679000,2026-07-17 17:25:48+00:00,679.0,68.1,0.0,0.0,0.0,0.0,5.0,5,1.0000000000000004e-05,True,REGULAR,USD,59.4000244140625
SPY260724C00680000,2026-07-23 14:31:11+00:00,680.0,60.07,0.0,0.0,0.0,0.0,1.0,6,1.0000000000000004e-05,True,REGULAR,USD,58.4000244140625
SPY260724C00681000,2026-07-23 17:36:21+00:00,681.0,57.34,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000004e-05,True,REGULAR,USD,57.4000244140625
SPY260724C00682000,2026-07-21 17:52:54+00:00,682.0,67.12,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000004e-05,True,REGULAR,USD,56.4000244140625
SPY260724C00683000,2026-07-23 14:13:47+00:00,683.0,57.36,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000004e-05,True,REGULAR,USD,55.4000244140625
SPY260724C00684000,2026-06-26 15:51:08+00:00,684.0,55.95,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000004e-05,True,REGULAR,USD,54.4000244140625
SPY260724C00685000,2026-07-17 15:00:41+00:00,685.0,61.27,0.0,0.0,0.0,0.0,1.0,26,1.0000000000000004e-05,True,REGULAR,USD,53.4000244140625
SPY260724C00686000,2026-07-23 16:26:42+00:00,686.0,53.5,0.0,0.0,0.0,0.0,1.0,28,1.0000000000000004e-05,True,REGULAR,USD,52.4000244140625
SPY260724C00687000,2026-06-26 18:16:03+00:00,687.0,52.3,0.0,0.0,0.0,0.0,15.0,1,1.0000000000000004e-05,True,REGULAR,USD,51.4000244140625
SPY260724C00688000,2026-07-17 17:19:13+00:00,688.0,59.29,0.0,0.0,0.0,0.0,9.0,20,1.0000000000000004e-05,True,REGULAR,USD,50.4000244140625
SPY260724C00689000,2026-06-15 17:27:21+00:00,689.0,70.56,57.62,60.43,0.0,0.0,,1,1.8658453973388671,True,REGULAR,USD,49.4000244140625
SPY260724C00690000,2026-07-23 17:15:56+00:00,690.0,48.86,0.0,0.0,0.0,0.0,25.0,49,1.0000000000000004e-05,True,REGULAR,USD,48.4000244140625
SPY260724C00691000,2026-07-06 13:47:21+00:00,691.0,59.9,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000004e-05,True,REGULAR,USD,47.4000244140625
SPY260724C00692000,2026-07-21 16:58:56+00:00,692.0,57.02,0.0,0.0,0.0,0.0,1.0,23,1.0000000000000004e-05,True,REGULAR,USD,46.4000244140625
SPY260724C00693000,2026-07-22 16:59:49+00:00,693.0,57.07,0.0,0.0,0.0,0.0,8.0,18,1.0000000000000004e-05,True,REGULAR,USD,45.4000244140625
SPY260724C00694000,2026-07-23 13:46:23+00:00,694.0,48.21,0.0,0.0,0.0,0.0,1.0,5,1.0000000000000004e-05,True,REGULAR,USD,44.4000244140625
SPY260724C00695000,2026-07-23 19:38:41+00:00,695.0,42.29,0.0,0.0,0.0,0.0,6.0,35,1.0000000000000004e-05,True,REGULAR,USD,43.4000244140625
SPY260724C00696000,2026-07-23 17:37:31+00:00,696.0,42.02,0.0,0.0,0.0,0.0,2.0,62,1.0000000000000004e-05,True,REGULAR,USD,42.4000244140625
SPY260724C00697000,2026-07-09 15:45:01+00:00,697.0,54.69,0.0,0.0,0.0,0.0,2.0,3,1.0000000000000004e-05,True,REGULAR,USD,41.4000244140625
SPY260724C00698000,2026-07-14 15:32:50+00:00,698.0,54.63,0.0,0.0,0.0,0.0,1.0,17,1.0000000000000004e-05,True,REGULAR,USD,40.4000244140625
SPY260724C00699000,2026-07-22 16:57:07+00:00,699.0,51.09,0.0,0.0,0.0,0.0,158.0,55,1.0000000000000004e-05,True,REGULAR,USD,39.4000244140625
SPY260724C00700000,2026-07-23 19:56:26+00:00,700.0,38.05,0.0,0.0,0.0,0.0,16.0,379,1.0000000000000004e-05,True,REGULAR,USD,38.4000244140625
SPY260724C00701000,2026-07-23 19:45:21+00:00,701.0,35.76,0.0,0.0,0.0,0.0,2.0,112,1.0000000000000004e-05,True,REGULAR,USD,37.4000244140625
SPY260724C00702000,2026-07-22 14:15:57+00:00,702.0,46.32,0.0,0.0,0.0,0.0,6.0,16,1.0000000000000004e-05,True,REGULAR,USD,36.4000244140625
SPY260724C00703000,2026-07-23 17:53:05+00:00,703.0,35.36,0.0,0.0,0.0,0.0,2.0,25,1.0000000000000004e-05,True,REGULAR,USD,35.4000244140625
SPY260724C00704000,2026-07-23 17:53:05+00:00,704.0,34.44,0.0,0.0,0.0,0.0,5.0,101,1.0000000000000004e-05,True,REGULAR,USD,34.4000244140625
SPY260724C00705000,2026-07-23 18:20:12+00:00,705.0,32.41,0.0,0.0,0.0,0.0,5.0,183,1.0000000000000004e-05,True,REGULAR,USD,33.4000244140625
SPY260724C00706000,2026-07-22 16:14:20+00:00,706.0,44.04,0.0,0.0,0.0,0.0,88.0,41,1.0000000000000004e-05,True,REGULAR,USD,32.4000244140625
SPY260724C00707000,2026-07-23 17:52:27+00:00,707.0,31.5,0.0,0.0,0.0,0.0,3.0,26,1.0000000000000004e-05,True,REGULAR,USD,31.4000244140625
SPY260724C00708000,2026-07-23 18:24:40+00:00,708.0,29.64,0.0,0.0,0.0,0.0,4.0,50,1.0000000000000004e-05,True,REGULAR,USD,30.4000244140625
SPY260724C00709000,2026-07-22 18:24:22+00:00,709.0,39.9,0.0,0.0,0.0,0.0,12.0,3,1.0000000000000004e-05,True,REGULAR,USD,29.4000244140625
SPY260724C00710000,2026-07-23 20:00:53+00:00,710.0,28.76,0.0,0.0,0.0,0.0,120.0,101,1.0000000000000004e-05,True,REGULAR,USD,28.4000244140625
SPY260724C00711000,2026-07-23 16:56:50+00:00,711.0,27.64,0.0,0.0,0.0,0.0,2.0,70,1.0000000000000004e-05,True,REGULAR,USD,27.4000244140625
SPY260724C00712000,2026-07-23 17:42:12+00:00,712.0,26.12,0.0,0.0,0.0,0.0,4.0,79,1.0000000000000004e-05,True,REGULAR,USD,26.4000244140625
SPY260724C00713000,2026-07-22 15:45:52+00:00,713.0,36.57,0.0,0.0,0.0,0.0,1.0,34,1.0000000000000004e-05,True,REGULAR,USD,25.4000244140625
SPY260724C00714000,2026-07-23 16:48:45+00:00,714.0,24.41,0.0,0.0,0.0,0.0,50.0,181,1.0000000000000004e-05,True,REGULAR,USD,24.4000244140625
SPY260724C00715000,2026-07-23 20:00:53+00:00,715.0,23.79,0.0,0.0,0.0,0.0,99.0,716,1.0000000000000004e-05,True,REGULAR,USD,23.4000244140625
SPY260724C00716000,2026-07-23 18:16:12+00:00,716.0,21.54,0.0,0.0,0.0,0.0,15.0,59,1.0000000000000004e-05,True,REGULAR,USD,22.4000244140625
SPY260724C00717000,2026-07-23 19:23:47+00:00,717.0,20.6,0.0,0.0,0.0,0.0,6.0,5,1.0000000000000004e-05,True,REGULAR,USD,21.4000244140625
SPY260724C00718000,2026-07-23 16:02:26+00:00,718.0,19.87,0.0,0.0,0.0,0.0,3.0,61,1.0000000000000004e-05,True,REGULAR,USD,20.4000244140625
SPY260724C00719000,2026-07-23 20:10:45+00:00,719.0,20.36,0.0,0.0,0.0,0.0,16.0,120,1.0000000000000004e-05,True,REGULAR,USD,19.4000244140625
SPY260724C00720000,2026-07-23 20:05:55+00:00,720.0,19.36,0.0,0.0,0.0,0.0,580.0,522,1.0000000000000004e-05,True,REGULAR,USD,18.4000244140625
SPY260724C00721000,2026-07-23 19:50:06+00:00,721.0,16.14,0.0,0.0,0.0,0.0,8.0,79,1.0000000000000004e-05,True,REGULAR,USD,17.4000244140625
SPY260724C00722000,2026-07-23 20:12:17+00:00,722.0,17.42,0.0,0.0,0.0,0.0,32.0,87,1.0000000000000004e-05,True,REGULAR,USD,16.4000244140625
SPY260724C00723000,2026-07-23 20:01:04+00:00,723.0,16.2,0.0,0.0,0.0,0.0,87.0,327,1.0000000000000004e-05,True,REGULAR,USD,15.4000244140625
SPY260724C00724000,2026-07-23 20:03:13+00:00,724.0,15.79,0.0,0.0,0.0,0.0,13.0,815,1.0000000000000004e-05,True,REGULAR,USD,14.4000244140625
SPY260724C00725000,2026-07-23 19:53:35+00:00,725.0,12.01,0.0,0.0,0.0,0.0,208.0,616,1.0000000000000004e-05,True,REGULAR,USD,13.4000244140625
SPY260724C00726000,2026-07-23 19:59:10+00:00,726.0,12.39,0.0,0.0,0.0,0.0,131.0,284,1.0000000000000004e-05,True,REGULAR,USD,12.4000244140625
SPY260724C00727000,2026-07-23 19:58:13+00:00,727.0,11.8,0.0,0.0,0.0,0.0,148.0,896,1.0000000000000004e-05,True,REGULAR,USD,11.4000244140625
SPY260724C00728000,2026-07-23 20:10:33+00:00,728.0,11.71,0.0,0.0,0.0,0.0,590.0,498,1.0000000000000004e-05,True,REGULAR,USD,10.4000244140625
SPY260724C00729000,2026-07-23 20:12:59+00:00,729.0,10.86,0.0,0.0,0.0,0.0,536.0,535,1.0000000000000004e-05,True,REGULAR,USD,9.4000244140625
SPY260724C00730000,2026-07-23 20:07:40+00:00,730.0,9.77,0.0,0.0,0.0,0.0,1135.0,808,1.0000000000000004e-05,True,REGULAR,USD,8.4000244140625
SPY260724C00731000,2026-07-23 20:12:51+00:00,731.0,8.99,0.0,0.0,0.0,0.0,1246.0,418,1.0000000000000004e-05,True,REGULAR,USD,7.4000244140625
SPY260724C00732000,2026-07-23 20:14:31+00:00,732.0,8.15,0.0,0.0,0.0,0.0,701.0,1311,1.0000000000000004e-05,True,REGULAR,USD,6.4000244140625
SPY260724C00733000,2026-07-23 20:14:49+00:00,733.0,7.25,0.0,0.0,0.0,0.0,3357.0,2127,1.0000000000000004e-05,True,REGULAR,USD,5.4000244140625
SPY260724C00734000,2026-07-23 20:14:09+00:00,734.0,6.57,0.0,0.0,0.0,0.0,4003.0,1963,1.0000000000000004e-05,True,REGULAR,USD,4.4000244140625
SPY260724C00735000,2026-07-23 20:14:44+00:00,735.0,5.65,0.0,0.0,0.0,0.0,8459.0,2302,1.0000000000000004e-05,True,REGULAR,USD,3.4000244140625
SPY260724C00736000,2026-07-23 20:14:44+00:00,736.0,4.9,0.0,0.0,0.0,0.0,18596.0,2465,1.0000000000000004e-05,True,REGULAR,USD,2.4000244140625
SPY260724C00737000,2026-07-23 20:14:55+00:00,737.0,4.14,0.0,0.0,0.0,0.0,53653.0,5430,1.0000000000000004e-05,True,REGULAR,USD,1.4000244140625
SPY260724C00738000,2026-07-23 20:14:49+00:00,738.0,3.48,0.0,0.0,0.0,0.0,60818.0,5694,1.0000000000000004e-05,True,REGULAR,USD,0.4000244140625
SPY260724C00739000,2026-07-23 20:14:59+00:00,739.0,2.85,0.0,0.0,0.0,0.0,62849.0,5978,0.007822421875,False,REGULAR,USD,0.5999755859375
SPY260724C00740000,2026-07-23 20:14:57+00:00,740.0,2.29,0.0,0.0,0.0,0.0,111871.0,12213,0.01563484375,False,REGULAR,USD,1.5999755859375
SPY260724C00741000,2026-07-23 20:14:58+00:00,741.0,1.8,0.0,0.0,0.0,0.0,68433.0,7416,0.01563484375,False,REGULAR,USD,2.5999755859375
SPY260724C00742000,2026-07-23 20:14:59+00:00,742.0,1.36,0.0,0.0,0.0,0.0,74011.0,13678,0.0312596875,False,REGULAR,USD,3.5999755859375
SPY260724C00743000,2026-07-23 20:14:59+00:00,743.0,1.0,0.0,0.0,0.0,0.0,52139.0,11263,0.0312596875,False,REGULAR,USD,4.5999755859375
SPY260724C00744000,2026-07-23 20:14:58+00:00,744.0,0.71,0.0,0.0,0.0,0.0,52132.0,10630,0.0312596875,False,REGULAR,USD,5.5999755859375
SPY260724C00745000,2026-07-23 20:14:58+00:00,745.0,0.49,0.0,0.0,0.0,0.0,86552.0,19711,0.0312596875,False,REGULAR,USD,6.5999755859375
SPY260724C00746000,2026-07-23 20:14:58+00:00,746.0,0.34,0.0,0.0,0.0,0.0,42367.0,14334,0.062509375,False,REGULAR,USD,7.5999755859375
SPY260724C00747000,2026-07-23 20:14:59+00:00,747.0,0.21,0.0,0.0,0.0,0.0,31175.0,12465,0.062509375,False,REGULAR,USD,8.5999755859375
SPY260724C00748000,2026-07-23 20:14:56+00:00,748.0,0.15,0.0,0.0,0.0,0.0,24837.0,9823,0.062509375,False,REGULAR,USD,9.5999755859375
SPY260724C00749000,2026-07-23 20:14:56+00:00,749.0,0.09,0.0,0.0,0.0,0.0,14484.0,7682,0.062509375,False,REGULAR,USD,10.5999755859375
SPY260724C00750000,2026-07-23 20:14:59+00:00,750.0,0.07,0.0,0.0,0.0,0.0,43576.0,21044,0.062509375,False,REGULAR,USD,11.5999755859375
SPY260724C00751000,2026-07-23 20:14:17+00:00,751.0,0.05,0.0,0.0,0.0,0.0,8794.0,5958,0.062509375,False,REGULAR,USD,12.5999755859375
SPY260724C00752000,2026-07-23 20:14:56+00:00,752.0,0.04,0.0,0.0,0.0,0.0,11569.0,9457,0.062509375,False,REGULAR,USD,13.5999755859375
SPY260724C00753000,2026-07-23 20:14:58+00:00,753.0,0.03,0.0,0.0,0.0,0.0,9128.0,7897,0.062509375,False,REGULAR,USD,14.5999755859375
SPY260724C00754000,2026-07-23 20:14:11+00:00,754.0,0.03,0.0,0.0,0.0,0.0,9896.0,16296,0.12500875,False,REGULAR,USD,15.5999755859375
SPY260724C00755000,2026-07-23 20:14:40+00:00,755.0,0.02,0.0,0.0,0.0,0.0,17353.0,15796,0.12500875,False,REGULAR,USD,16.5999755859375
SPY260724C00756000,2026-07-23 20:14:08+00:00,756.0,0.01,0.0,0.0,0.0,0.0,4202.0,7475,0.12500875,False,REGULAR,USD,17.5999755859375
SPY260724C00757000,2026-07-23 20:12:05+00:00,757.0,0.01,0.0,0.0,0.0,0.0,6375.0,8129,0.12500875,False,REGULAR,USD,18.5999755859375
SPY260724C00758000,2026-07-23 20:01:37+00:00,758.0,0.01,0.0,0.0,0.0,0.0,3766.0,17822,0.12500875,False,REGULAR,USD,19.5999755859375
SPY260724C00759000,2026-07-23 20:14:32+00:00,759.0,0.01,0.0,0.0,0.0,0.0,4200.0,6531,0.12500875,False,REGULAR,USD,20.5999755859375
SPY260724C00760000,2026-07-23 20:14:51+00:00,760.0,0.01,0.0,0.0,0.0,0.0,12415.0,19494,0.12500875,False,REGULAR,USD,21.5999755859375
SPY260724C00761000,2026-07-23 20:07:23+00:00,761.0,0.01,0.0,0.0,0.0,0.0,4545.0,4689,0.12500875,False,REGULAR,USD,22.5999755859375
SPY260724C00762000,2026-07-23 19:54:05+00:00,762.0,0.02,0.0,0.0,0.0,0.0,2027.0,4552,0.12500875,False,REGULAR,USD,23.5999755859375
SPY260724C00763000,2026-07-23 19:37:02+00:00,763.0,0.01,0.0,0.0,0.0,0.0,485.0,7020,0.12500875,False,REGULAR,USD,24.5999755859375
SPY260724C00764000,2026-07-23 19:58:36+00:00,764.0,0.01,0.0,0.0,0.0,0.0,228.0,5120,0.12500875,False,REGULAR,USD,25.5999755859375
SPY260724C00765000,2026-07-23 20:06:46+00:00,765.0,0.01,0.0,0.0,0.0,0.0,430.0,10354,0.12500875,False,REGULAR,USD,26.5999755859375
SPY260724C00766000,2026-07-23 18:59:50+00:00,766.0,0.01,0.0,0.0,0.0,0.0,401.0,1612,0.12500875,False,REGULAR,USD,27.5999755859375
SPY260724C00767000,2026-07-23 19:58:59+00:00,767.0,0.02,0.0,0.0,0.0,0.0,97.0,3474,0.12500875,False,REGULAR,USD,28.5999755859375
SPY260724C00768000,2026-07-23 15:01:21+00:00,768.0,0.01,0.0,0.0,0.0,0.0,23.0,1335,0.12500875,False,REGULAR,USD,29.5999755859375
SPY260724C00769000,2026-07-23 16:10:06+00:00,769.0,0.01,0.0,0.0,0.0,0.0,16.0,3222,0.12500875,False,REGULAR,USD,30.5999755859375
SPY260724C00770000,2026-07-23 19:51:50+00:00,770.0,0.01,0.0,0.0,0.0,0.0,23.0,9774,0.12500875,False,REGULAR,USD,31.5999755859375
SPY260724C00771000,2026-07-23 14:31:52+00:00,771.0,0.01,0.0,0.0,0.0,0.0,10.0,1510,0.12500875,False,REGULAR,USD,32.5999755859375
SPY260724C00772000,2026-07-23 14:48:33+00:00,772.0,0.01,0.0,0.0,0.0,0.0,2.0,1603,0.2500075,False,REGULAR,USD,33.5999755859375
SPY260724C00773000,2026-07-23 13:37:13+00:00,773.0,0.01,0.0,0.0,0.0,0.0,1.0,1305,0.2500075,False,REGULAR,USD,34.5999755859375
SPY260724C00774000,2026-07-23 19:58:59+00:00,774.0,0.01,0.0,0.0,0.0,0.0,11.0,1148,0.2500075,False,REGULAR,USD,35.5999755859375
SPY260724C00775000,2026-07-23 18:15:17+00:00,775.0,0.01,0.0,0.0,0.0,0.0,4.0,2889,0.2500075,False,REGULAR,USD,36.5999755859375
